rel_path,ext,doi,isbn,converted_md,ocr_text
"Review/Unreadable/2017 - Douglas, Karen, Sutton, Robbie M. and Cichocka, Aleksandra The - 2017 - Douglas, Karen, Sutton, Robbie M. and Cichocka, Aleksandra The.pdf - 2017 - Douglas, Karen, Sutton, Robbie M. and Cichocka, Aleks.pdf",.pdf,10.1002/ejsp.2308;10.1177/0963721417718261;10.1371/journal;10.3389/fpsyg.2013.00225;10.3389/fpsyg.2013.00378,,"converted_ocr/Review/Unreadable/2017 - Douglas, Karen, Sutton, Robbie M. and Cichocka, Aleksandra The - 2017 - Douglas, Karen, Sutton, Robbie M. and Cic__cdeb51ae0a83.md",
Review/Unreadable/2017 - EDITORIAL INTRODUCTION.pdf - 2017 - EDITORIAL INTRODUCTION.pdf.pdf - 2017 - EDITORIAL INTRODUCTION.pdf - 2017 - EDITORIAL INTRODUCTION.pdf.pdf.pdf,.pdf,10.1017/S1742058X13000349,,converted_ocr/Review/Unreadable/2017 - EDITORIAL INTRODUCTION.pdf - 2017 - EDITORIAL INTRODUCTION.pdf.pdf - 2017 - EDITORIAL INTRODUCTION.pdf - 2017 - EDITORIAL INTRODUCTION.pdf.pdf.pdf.md,
Review/Unreadable/2017 - JOURNAL OF MEDICAL INTERNET RESEARCH Greenhalgh et al.pdf - 201 - 2017 - JOURNAL OF MEDICAL INTERNET RESEARCH Greenhalgh et al.pdf - 2017 - JOURNAL OF MEDICAL INTERNET RESEARCH Greenhalgh et al.pdf.pdf.pdf,.pdf,10.1007/BF00141934;10.1007/s10464-009-9229-9;10.1007/s10606-005-9001-0;10.1007/s10606-006-9037-9;10.1016/S0140-6736(11)61229-4;10.1016/j.jacbts.2016.06.003;10.1016/j.otc.2011.08.011;10.1080/09537320310001601504;10.1111/j.1467-9566.2007.01032.x;10.1111/j.1468-0009.2012.00673.x;10.1111/j.1552-6909.2012.01399.x;10.1177/001872678704000303;10.1177/1555343416652524;10.1186/1748-5908-8-117;10.1207/S15327051HCI1523_5;10.1287/isre.3.1.60;10.1287/orsc.11.6.611.12529;10.1287/orsc.3.3.398;10.2196/jmir.1633;10.2196/jmir.8775,,converted_ocr/Review/Unreadable/2017 - JOURNAL OF MEDICAL INTERNET RESEARCH Greenhalgh et al.pdf - 201 - 2017 - JOURNAL OF MEDICAL INTERNET RESEARCH Gre__90abd5589c95.md,
Review/Unreadable/2017 - journal_article.docx - 2017 - journal_article.docx.docx - 2017 - journal_article.docx - 2017 - journal_article.docx.docx.docx,.docx,10.3983/twc.2023.2200,,converted_ocr/Review/Unreadable/2017 - journal_article.docx - 2017 - journal_article.docx.docx - 2017 - journal_article.docx - 2017 - journal_article.docx.docx.docx.md,
Review/Unreadable/2017 - journal_article.pdf - 2017 - journal_article.pdf.pdf - 2017 - journal_article.pdf - 2017 - journal_article.pdf.pdf.pdf,.pdf,10.1080/01419870.2015.1103880,,converted_ocr/Review/Unreadable/2017 - journal_article.pdf - 2017 - journal_article.pdf.pdf - 2017 - journal_article.pdf - 2017 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/2017 - journal_article_1.pdf - 2017 - journal_article_1.pdf.pdf - 2017 - journal_article_1.pdf - 2017 - journal_article_1.pdf.pdf.pdf,.pdf,10.1016/j.giq.2024.101929,,converted_ocr/Review/Unreadable/2017 - journal_article_1.pdf - 2017 - journal_article_1.pdf.pdf - 2017 - journal_article_1.pdf - 2017 - journal_article_1.pdf.pdf.pdf.md,
Review/Unreadable/2017 - thesis_or_dissertation [2].pdf - 2017 - thesis_or_dissertation [2].pdf.pdf - 2017 - thesis_or_dissertation [2].pdf - 2017 - thesis_or_dissertation [2].pdf.pdf.pdf,.pdf,10.4000/gss.1849,,converted_ocr/Review/Unreadable/2017 - thesis_or_dissertation [2].pdf - 2017 - thesis_or_dissertation [2].pdf.pdf - 2017 - thesis_or_dissertation [2].pd__b770960d92eb.md,
Review/Unreadable/2017 - thesis_or_dissertation.pdf - 2017 - thesis_or_dissertation.pdf.pdf - 2017 - thesis_or_dissertation.pdf - 2017 - thesis_or_dissertation.pdf.pdf.pdf,.pdf,10.1558/pome.v15i1-2.1;10.1558/pome.v15i12.1,,converted_ocr/Review/Unreadable/2017 - thesis_or_dissertation.pdf - 2017 - thesis_or_dissertation.pdf.pdf - 2017 - thesis_or_dissertation.pdf - 2017 - thesis_or_dissertation.pdf.pdf.pdf.md,
Review/Unreadable/2017 - thesis_or_dissertation_2.pdf - 2017 - thesis_or_dissertation_2.pdf.pdf - 2017 - thesis_or_dissertation_2.pdf - 2017 - thesis_or_dissertation_2.pdf.pdf.pdf,.pdf,10.1558/pome.v15i1-2.1,,converted_ocr/Review/Unreadable/2017 - thesis_or_dissertation_2.pdf - 2017 - thesis_or_dissertation_2.pdf.pdf - 2017 - thesis_or_dissertation_2.pdf - 20__eae68ed924b9.md,
Review/Unreadable/2018 - book_chapter.docx - 2018 - book_chapter.docx.docx - 2018 - book_chapter.docx - 2018 - book_chapter.docx.docx.docx,.docx,10.1080/0048721X.2016.1210390;10.6084/m9.figshare.12652460.v1,,converted_ocr/Review/Unreadable/2018 - book_chapter.docx - 2018 - book_chapter.docx.docx - 2018 - book_chapter.docx - 2018 - book_chapter.docx.docx.docx.md,
Review/Unreadable/2018 - Conseil de recherches en Social Sciences and Humanities.pdf - 2 - 2018 - Conseil de recherches en Social Sciences and Humanities.pdf - 2018 - Conseil de recherches en Social Sciences and Humanities.pdf.pdf,.pdf,10.1177/0008429817710971;10.1558/pome.v12i2.159;10.1558/pome.v15i1-2.79;10.4000/gss.1722,,converted_ocr/Review/Unreadable/2018 - Conseil de recherches en Social Sciences and Humanities.pdf - 2 - 2018 - Conseil de recherches en Social Sciences__4548ff272cc8.md,
"Review/Unreadable/2018 - Dion 2018 LEPAGE, Martin.pdf - 2018 - Dion 2018 LEPAGE, Martin.pdf.pdf - 2018 - Dion 2018 LEPAGE, Martin.pdf - 2018 - Dion 2018 LEPAGE, Martin.pdf.pdf.pdf",.pdf,10.1558/pome.v12i2.159,,"converted_ocr/Review/Unreadable/2018 - Dion 2018 LEPAGE, Martin.pdf - 2018 - Dion 2018 LEPAGE, Martin.pdf.pdf - 2018 - Dion 2018 LEPAGE, Martin.pdf - 20__fc648a7b99e0.md",
Review/Unreadable/2018 - edn.indd - book_or_monograph.pdf - 2018 - edn.indd - book_or_monograph.pdf.pdf - 2018 - edn.indd - book_or_monograph.pdf - 2018 - edn.indd - book_or_monograph.pdf.pdf.pdf,.pdf,10.3998/mpub.10072208,,converted_ocr/Review/Unreadable/2018 - edn.indd - book_or_monograph.pdf - 2018 - edn.indd - book_or_monograph.pdf.pdf - 2018 - edn.indd - book_or_monogr__e872fce2859b.md,
Review/Unreadable/2018 - religions.pdf - 2018 - religions.pdf.pdf - 2018 - religions.pdf - 2018 - religions.pdf.pdf.pdf,.pdf,10.3390/rel9040105,,converted_ocr/Review/Unreadable/2018 - religions.pdf - 2018 - religions.pdf.pdf - 2018 - religions.pdf - 2018 - religions.pdf.pdf.pdf.md,
Review/Unreadable/2018 - Studying complexity in health services research desperately see - 2018 - Studying complexity in health services research desperately seeking an overdue paradigm sh.pdf - 2018 - Studying complexity in he.pdf,.pdf,10.1186/s12916-018-1079-6;10.1186/s12916-018-1089-4;10.1186/s12916018-1087-6,,converted_ocr/Review/Unreadable/2018 - Studying complexity in health services research desperately see - 2018 - Studying complexity in health services r__c44626627c49.md,
"Review/Unreadable/2018 - Tech Tools Profile, Police, and Pun.pdf - 2018 - Tech Tools Profile, Police, and Pun.pdf.pdf - 2018 - Tech Tools Profile, Police, and Pun.pdf - 2018 - Tech Tools Profile, Police, and Pun.pdf.pdf.pdf",.pdf,10.5204/lthj.v1i0.1386,9781250215789,"converted_ocr/Review/Unreadable/2018 - Tech Tools Profile, Police, and Pun.pdf - 2018 - Tech Tools Profile, Police, and Pun.pdf.pdf - 2018 - Tech Tools__9bb2dd55ee35.md",
