rel_path,abs_path,ext,size_bytes,mtime_utc,pages_total,pages_ocrd,converted_md,ocr_text,doi,isbn,status,error
Review/Unreadable/2003 - Prepublication Copy of.pdf - 2003 - Prepublication Copy of.pdf.pdf - 2003 - Prepublication Copy of.pdf - 2003 - Prepublication Copy of.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2003 - Prepublication Copy of.pdf - 2003 - Prepublication Copy of.pdf.pdf - 2003 - Prepublication Copy of.pdf - 2003 - Prepublication Copy of.pdf.pdf.pdf,.pdf,139876,2026-02-12T18:54:38+00:00,0,,converted_ocr/Review/Unreadable/2003 - Prepublication Copy of.pdf - 2003 - Prepublication Copy of.pdf.pdf - 2003 - Prepublication Copy of.pdf - 2003 - Prepublication Copy of.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2004 - bibliography.pdf - 2004 - bibliography.pdf.pdf - 2004 - bibliography.pdf - 2004 - bibliography.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2004 - bibliography.pdf - 2004 - bibliography.pdf.pdf - 2004 - bibliography.pdf - 2004 - bibliography.pdf.pdf.pdf,.pdf,190399,2026-02-26T23:54:16+00:00,0,,converted_ocr/Review/Unreadable/2004 - bibliography.pdf - 2004 - bibliography.pdf.pdf - 2004 - bibliography.pdf - 2004 - bibliography.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2004 - INTRODUCTION.docx - 2004 - INTRODUCTION.docx.docx - 2004 - INTRODUCTION.docx - 2004 - INTRODUCTION.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/2004 - INTRODUCTION.docx - 2004 - INTRODUCTION.docx.docx - 2004 - INTRODUCTION.docx - 2004 - INTRODUCTION.docx.docx.docx,.docx,35559,2026-02-26T14:53:40+00:00,0,,converted_ocr/Review/Unreadable/2004 - INTRODUCTION.docx - 2004 - INTRODUCTION.docx.docx - 2004 - INTRODUCTION.docx - 2004 - INTRODUCTION.docx.docx.docx.md,,,,ok,
Review/Unreadable/2004 - ocr_needed.pdf - 2004 - ocr_needed.pdf.pdf - 2004 - ocr_needed.pdf - 2004 - ocr_needed.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2004 - ocr_needed.pdf - 2004 - ocr_needed.pdf.pdf - 2004 - ocr_needed.pdf - 2004 - ocr_needed.pdf.pdf.pdf,.pdf,69635336,2026-02-12T21:36:16+00:00,0,,converted_ocr/Review/Unreadable/2004 - ocr_needed.pdf - 2004 - ocr_needed.pdf.pdf - 2004 - ocr_needed.pdf - 2004 - ocr_needed.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2004 - policy_or_guidance.pdf - 2004 - policy_or_guidance.pdf.pdf - 2004 - policy_or_guidance.pdf - 2004 - policy_or_guidance.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2004 - policy_or_guidance.pdf - 2004 - policy_or_guidance.pdf.pdf - 2004 - policy_or_guidance.pdf - 2004 - policy_or_guidance.pdf.pdf.pdf,.pdf,21754,2026-03-01T11:26:22+00:00,0,,converted_ocr/Review/Unreadable/2004 - policy_or_guidance.pdf - 2004 - policy_or_guidance.pdf.pdf - 2004 - policy_or_guidance.pdf - 2004 - policy_or_guidance.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2004 - Privacy as Contextual Integrity.pdf - 2004 - Privacy as Contextual Integrity.pdf.pdf - 2004 - Privacy as Contextual Integrity.pdf - 2004 - Privacy as Contextual Integrity.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2004 - Privacy as Contextual Integrity.pdf - 2004 - Privacy as Contextual Integrity.pdf.pdf - 2004 - Privacy as Contextual Integrity.pdf - 2004 - Privacy as Contextual Integrity.pdf.pdf.pdf,.pdf,2270217,2026-02-17T07:55:46+00:00,0,,converted_ocr/Review/Unreadable/2004 - Privacy as Contextual Integrity.pdf - 2004 - Privacy as Contextual Integrity.pdf.pdf - 2004 - Privacy as Contextu__fe0a1c2854e5.md,,,,ok,
Review/Unreadable/2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf - 2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf - 2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf.pdf,.pdf,323147,2026-02-26T15:30:02+00:00,0,,converted_ocr/Review/Unreadable/2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf - 2004 - TRUE.pdf - 2004 - TRUE.pdf.pdf.pdf.md,,10.3917/rdm.023.0133,,ok,
Review/Unreadable/2005 - book_or_monograph.pdf - 2005 - book_or_monograph.pdf.pdf - 2005 - book_or_monograph.pdf - 2005 - book_or_monograph.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2005 - book_or_monograph.pdf - 2005 - book_or_monograph.pdf.pdf - 2005 - book_or_monograph.pdf - 2005 - book_or_monograph.pdf.pdf.pdf,.pdf,1006783,2026-03-01T11:21:44+00:00,0,,converted_ocr/Review/Unreadable/2005 - book_or_monograph.pdf - 2005 - book_or_monograph.pdf.pdf - 2005 - book_or_monograph.pdf - 2005 - book_or_monograph.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf - 2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf - 2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf.pdf,.pdf,308783,2026-02-09T13:15:58+00:00,0,,converted_ocr/Review/Unreadable/2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf - 2005 - journal_article.pdf - 2005 - journal_article.pdf.pdf.pdf.md,,10.1017/S0020818305050010,,ok,
Review/Unreadable/2006 - book_or_monograph.pdf - 2006 - book_or_monograph.pdf.pdf - 2006 - book_or_monograph.pdf - 2006 - book_or_monograph.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2006 - book_or_monograph.pdf - 2006 - book_or_monograph.pdf.pdf - 2006 - book_or_monograph.pdf - 2006 - book_or_monograph.pdf.pdf.pdf,.pdf,1817983,2026-02-14T05:29:34+00:00,0,,converted_ocr/Review/Unreadable/2006 - book_or_monograph.pdf - 2006 - book_or_monograph.pdf.pdf - 2006 - book_or_monograph.pdf - 2006 - book_or_monograph.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2006 - legal_or_contract.docx - 2006 - legal_or_contract.docx.docx - 2006 - legal_or_contract.docx - 2006 - legal_or_contract.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/2006 - legal_or_contract.docx - 2006 - legal_or_contract.docx.docx - 2006 - legal_or_contract.docx - 2006 - legal_or_contract.docx.docx.docx,.docx,634178,2025-10-19T11:17:14+00:00,0,,converted_ocr/Review/Unreadable/2006 - legal_or_contract.docx - 2006 - legal_or_contract.docx.docx - 2006 - legal_or_contract.docx - 2006 - legal_or_contract.docx.docx.docx.md,,,,ok,
Review/Unreadable/2006 - legal_or_contract_1.docx - 2006 - legal_or_contract_1.docx.docx - 2006 - legal_or_contract_1.docx - 2006 - legal_or_contract_1.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/2006 - legal_or_contract_1.docx - 2006 - legal_or_contract_1.docx.docx - 2006 - legal_or_contract_1.docx - 2006 - legal_or_contract_1.docx.docx.docx,.docx,636259,2026-02-12T22:06:42+00:00,0,,converted_ocr/Review/Unreadable/2006 - legal_or_contract_1.docx - 2006 - legal_or_contract_1.docx.docx - 2006 - legal_or_contract_1.docx - 2006 - legal_or_contract_1.docx.docx.docx.md,,,,ok,
Review/Unreadable/2006 - report [2].docx - 2006 - report [2].docx.docx - 2006 - report [2].docx - 2006 - report [2].docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/2006 - report [2].docx - 2006 - report [2].docx.docx - 2006 - report [2].docx - 2006 - report [2].docx.docx.docx,.docx,32061,2026-01-25T18:29:04+00:00,0,,converted_ocr/Review/Unreadable/2006 - report [2].docx - 2006 - report [2].docx.docx - 2006 - report [2].docx - 2006 - report [2].docx.docx.docx.md,,,,ok,
Review/Unreadable/2006 - report [3].docx - 2006 - report [3].docx.docx - 2006 - report [3].docx - 2006 - report [3].docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/2006 - report [3].docx - 2006 - report [3].docx.docx - 2006 - report [3].docx - 2006 - report [3].docx.docx.docx,.docx,35660,2026-01-25T19:30:32+00:00,0,,converted_ocr/Review/Unreadable/2006 - report [3].docx - 2006 - report [3].docx.docx - 2006 - report [3].docx - 2006 - report [3].docx.docx.docx.md,,,,ok,
Review/Unreadable/2006 - report [4].docx - 2006 - report [4].docx.docx - 2006 - report [4].docx - 2006 - report [4].docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/2006 - report [4].docx - 2006 - report [4].docx.docx - 2006 - report [4].docx - 2006 - report [4].docx.docx.docx,.docx,35663,2026-01-25T21:19:28+00:00,0,,converted_ocr/Review/Unreadable/2006 - report [4].docx - 2006 - report [4].docx.docx - 2006 - report [4].docx - 2006 - report [4].docx.docx.docx.md,,,,ok,
